doi,title,publisher,year,abstract,volume,issue,page,issn_array,authors,total_cites,supporting_cites,mentioning_cites,contrasting_cites,num_citing_publications,num_source_practice_guidelines
10.1080/08839514.2024.2318670,The SAGE Framework for Explaining Context in Explainable Artificial Intelligence,Informa UK Limited,2024,,38,1,,"['0883-9514', '1087-6545']","[{'given': 'Eleanor', 'orcid': '0000-0001-9039-8654', 'family': 'Mill', 'affiliation': 'Surrey Business School, University of Surrey, Guildford, UK'}, {'given': 'Wolfgang', 'orcid': None, 'family': 'Garn', 'affiliation': 'Surrey Business School, University of Surrey, Guildford, UK'}, {'given': 'Nick', 'orcid': None, 'family': 'Ryman-Tubb', 'affiliation': 'Surrey Business School, University of Surrey, Guildford, UK'}, {'given': 'Chris', 'orcid': None, 'family': 'Turner', 'affiliation': 'Surrey Business School, University of Surrey, Guildford, UK'}]",0,0,0,0,3,0
10.1080/10447318.2022.2041900,Transitioning to Human Interaction with AI Systems: New Challenges and Opportunities for HCI Professionals to Enable Human-Centered AI,Informa UK Limited,2022,,39,3,494-518,"['1044-7318', '1532-7590']","[{'given': 'Wei', 'orcid': None, 'family': 'Xu', 'affiliation': 'Center for Psychological Sciences, Zhejiang University, Hangzhou, China'}, {'given': 'Marvin J.', 'orcid': None, 'family': 'Dainoff', 'affiliation': 'Department of Psychology, Miami University, Oxford, OH, USA'}, {'given': 'Liezhong', 'orcid': None, 'family': 'Ge', 'affiliation': 'Center for Psychological Sciences, Zhejiang University, Hangzhou, China'}, {'given': 'Zaifeng', 'orcid': None, 'family': 'Gao', 'affiliation': 'Department of Psychology and Behavioral Sciences, Zhejiang University, Hangzhou, China'}]",85,2,77,0,184,0
10.1080/10447318.2022.2093863,A Situation Awareness Perspective on Human-AI Interaction: Tensions and Opportunities,Informa UK Limited,2022,,39,9,1789-1806,"['1044-7318', '1532-7590']","[{'given': 'Jinglu', 'orcid': '0000-0001-6464-9683', 'family': 'Jiang', 'affiliation': 'School of Management, Binghamton University, Binghamton, NY, USA'}, {'given': 'Alexander J.', 'orcid': None, 'family': 'Karran', 'affiliation': 'HEC Montréal, Montreal, Canada'}, {'given': 'Constantinos K.', 'orcid': '0000-0001-9301-3289', 'family': 'Coursaris', 'affiliation': 'HEC Montréal, Montreal, Canada'}, {'given': 'Pierre-Majorique', 'orcid': None, 'family': 'Léger', 'affiliation': 'HEC Montréal, Montreal, Canada'}, {'given': 'Joerg', 'orcid': None, 'family': 'Beringer', 'affiliation': 'Blue Yonder, Scottsdale, AZ, USA'}]",27,0,27,0,42,0
10.1080/10447318.2022.2101698,Explainable Artificial Intelligence: Evaluating the Objective and Subjective Impacts of xAI on Human-Agent Interaction,Informa UK Limited,2022,"Echoing the results of our primary investigation with the full survey, here we present results according to our reduced xAI survey. An ANCOVA showed that certain conditions in our experiment were rated as significantly more explainable than others (F (7, 277) = 3.14, p = 0.003). Our independent variable is the explainability method and our dependent variable is the explainability score. We include as a covariate the participant's baseline explainability score. A Shapiro-Wilk test revealed that our data were not normally distributed, but we proceed with an ANCOVA due to a lack of non-parametric alternative and the robustness of the F-test (Cochran, 1947;Glass, Peckham, & Sanders, 1972;Hack, 1958;Pearson, 1931). A Tukey's HSD post-hoc analysis reveals that Counterfactual was rated as more explainable than Probability Scores (p = 0.002), as shown in Figure A1 The reduced questionnaire, after a factor analysis and verification is given in Table A1.",39,7,1390-1404,"['1044-7318', '1532-7590']","[{'given': 'Andrew', 'orcid': '0000-0002-0317-5135', 'family': 'Silva', 'affiliation': 'College of Computing, Georgia Institute of Technology, Atlanta, GA, USA'}, {'given': 'Mariah', 'orcid': None, 'family': 'Schrum', 'affiliation': 'College of Computing, Georgia Institute of Technology, Atlanta, GA, USA'}, {'given': 'Erin', 'orcid': None, 'family': 'Hedlund-Botti', 'affiliation': 'College of Computing, Georgia Institute of Technology, Atlanta, GA, USA'}, {'given': 'Nakul', 'orcid': None, 'family': 'Gopalan', 'affiliation': 'College of Computing, Georgia Institute of Technology, Atlanta, GA, USA'}, {'given': 'Matthew', 'orcid': '0000-0002-5321-6038', 'family': 'Gombolay', 'affiliation': 'College of Computing, Georgia Institute of Technology, Atlanta, GA, USA'}]",34,0,33,1,60,0
10.1080/10447318.2022.2126812,Explainable AI: The Effect of Contradictory Decisions and Explanations on Users’ Acceptance of AI Systems,Informa UK Limited,2022,,39,9,1807-1826,"['1044-7318', '1532-7590']","[{'given': 'Carolin', 'orcid': None, 'family': 'Ebermann', 'affiliation': 'Business Psychology, PFH Private University of Applied Sciences, Göttingen, Germany'}, {'given': 'Matthias', 'orcid': None, 'family': 'Selisky', 'affiliation': 'Business Psychology, PFH Private University of Applied Sciences, Göttingen, Germany'}, {'given': 'Stephan', 'orcid': None, 'family': 'Weibelzahl', 'affiliation': 'Business Psychology, PFH Private University of Applied Sciences, Göttingen, Germany'}]",3,0,3,0,21,0
10.1080/10580530.2020.1849465,"Explainable Artificial Intelligence: Objectives, Stakeholders, and Future Research Opportunities",Informa UK Limited,2020,"Artificial Intelligence (AI) has diffused into many areas of our private and professional life. In this research note, we describe exemplary risks of black-box AI, the consequent need for explainability, and previous research on Explainable AI (XAI) in information systems research. Moreover, we discuss the origin of the term XAI, generalized XAI objectives, and stakeholder groups, as well as quality criteria of personalized explanations. We conclude with an outlook to future research on XAI.",39,1,53-63,"['1058-0530', '1934-8703']","[{'given': 'Christian', 'orcid': '0000-0001-5637-9433', 'family': 'Meske', 'affiliation': 'Department of Information Systems, Freie Universität Berlin and Einstein Center Digital Future, Berlin, Germany'}, {'given': 'Enrico', 'orcid': None, 'family': 'Bunde', 'affiliation': 'Department of Information Systems, Freie Universität Berlin and Einstein Center Digital Future, Berlin, Germany'}, {'given': 'Johannes', 'orcid': None, 'family': 'Schneider', 'affiliation': 'Institute of Information Systems, University of Liechtenstein, Vaduz, Liechtenstein'}, {'given': 'Martin', 'orcid': None, 'family': 'Gersch', 'affiliation': 'Department of Information Systems, Freie Universität Berlin, Einstein Center Digital Future as Well as Digital Entrepreneurship Hub, Berlin, Germany'}]",179,2,177,0,291,0
10.1098/rsta.2020.0363,Artificial intelligence explainability: the technical and ethical dimensions,The Royal Society,2021,"In recent years, several new technical methods have been developed to make AI-models more transparent and interpretable. These techniques are often referred to collectively as ‘AI explainability’ or ‘XAI’ methods. This paper presents an overview of XAI methods, and links them to stakeholder purposes for seeking an explanation. Because the underlying stakeholder purposes are broadly ethical in nature, we see this analysis as a contribution towards bringing together the technical and ethical dimensions of XAI. We emphasize that use of XAI methods must be linked to explanations of human decisions made during the development life cycle. Situated within that wider accountability framework, our analysis may offer a helpful starting point for designers, safety engineers, service providers and regulators who need to make practical judgements about which XAI methods to employ or to require.
          This article is part of the theme issue ‘Towards symbiotic autonomous systems’.",379,2207,20200363,"['1364-503X', '1471-2962']","[{'given': 'John A.', 'orcid': '0000-0003-4745-4272', 'family': 'McDermid', 'affiliation': 'Department of Computer Science, University of York, Deramore Lane, York YO10 5GH, UK'}, {'given': 'Yan', 'orcid': None, 'family': 'Jia', 'affiliation': 'Department of Computer Science, University of York, Deramore Lane, York YO10 5GH, UK'}, {'given': 'Zoe', 'orcid': None, 'family': 'Porter', 'affiliation': 'Department of Computer Science, University of York, Deramore Lane, York YO10 5GH, UK'}, {'given': 'Ibrahim', 'orcid': None, 'family': 'Habli', 'affiliation': 'Department of Computer Science, University of York, Deramore Lane, York YO10 5GH, UK'}]",44,0,44,0,87,0
10.1109/access.2018.2870052,Peeking Inside the Black-Box: A Survey on Explainable Artificial Intelligence (XAI),Institute of Electrical and Electronics Engineers (IEEE),2018,,6,,52138-52160,['2169-3536'],"[{'given': 'Amina', 'orcid': '0000-0002-9697-666X', 'family': 'Adadi', 'affiliation': None}, {'given': 'Mohammed', 'orcid': None, 'family': 'Berrada', 'affiliation': None}]",2944,15,2883,1,4618,0
10.1109/mc.2021.3076131,Explainable Recommendations and Calibrated Trust: Two Systematic User Errors,Institute of Electrical and Electronics Engineers (IEEE),2021,"The increased adoption of collaborative Human-AI decision-making tools triggered a need to explain the recommendations for safe and effective collaboration. However, evidence from the recent literature showed that current implementation of AI explanations is failing to achieve adequate trust calibration. Such failure has lead decision-makers to either end-up with over-trust, e.g., people follow incorrect recommendations or under-trust, they reject a correct recommendation. In this paper, we explore how users interact with explanations and why trust calibration errors occur. We take clinical decision-support systems as a case study. Our empirical investigation is based on think-aloud protocol and observations, supported by scenarios and decision-making exercise utilizing a set of explainable recommendations interfaces. Our study involved 16 participants from medical domain who use clinical decision support systems frequently. Our findings showed that participants had two systematic errors while interacting with the explanations either by skipping them or misapplying them in their task.",54,10,28-37,"['0018-9162', '1558-0814']","[{'given': 'Mohammad', 'orcid': '0000-0002-4927-5086', 'family': 'Naiseh', 'affiliation': 'Bournemouth University, Poole, BH12 5BB Dorset, United Kingdom of Great Britain and Northern Ireland'}, {'given': 'Deniz', 'orcid': None, 'family': 'Cemiloglu', 'affiliation': None}, {'given': 'Dena', 'orcid': '0000-0002-1474-2692', 'family': 'Al Thani', 'affiliation': 'College of Science and Engineering, Hamad Bin Khalifa University, Doha, Doha, Qatar'}, {'given': 'Nan', 'orcid': None, 'family': 'Jiang', 'affiliation': 'Bournemouth University, Poole, Dorset, United Kingdom of Great Britain and Northern Ireland'}, {'given': 'Raian', 'orcid': None, 'family': 'Ali', 'affiliation': 'Hamad Bin Khalifa University, Doha, Ad Dawhah, Qatar'}]",12,0,12,0,24,0
10.1109/mc.2023.3317329,The Safety of Autonomy: A Systematic Approach,Institute of Electrical and Electronics Engineers (IEEE),2024,"Autonomy does not subvert existing safety processes, but they must be supplemented with methods that address autonomy's challenges, especially where perception and decision-making tasks are implemented with machine learning. We present an approach to address the safety of autonomous systems, building on and complementing established safety engineering methods.
Traditionally, safety-related systems, like aircraft, cars, and factory robots, have operated under human control or supervision. With autonomous systems (ASs), the role of the human is lessened-perhaps just to the extent of initiating autonomous operation:An AS can operate independently of human control.ASs have existed for some time, for example, in rail, including the Docklands Light Railway in London. Although safety-critical, such systems operate within well-defined and, to an extent, controlled environments; for example, there are physical controls on human access to the tracks, and traffic movement is controlled through a signaling system. The introduction of such ASs has been successful, and they have good safety records.By contrast, emerging ASs, such as autonomous vehicles (AVs) on the roads or collaborative robots (called cobots) in factories, operate in significantly more challenging",57,4,16-25,"['0018-9162', '1558-0814']","[{'given': 'John A.', 'orcid': '0000-0003-4745-4272', 'family': 'McDermid', 'affiliation': 'University of York, York, U.K.'}, {'given': 'Radu', 'orcid': '0000-0002-2678-9260', 'family': 'Calinescu', 'affiliation': 'University of York, York, U.K.'}, {'given': 'Ibrahim', 'orcid': '0000-0003-2736-8238', 'family': 'Habli', 'affiliation': 'University of York, York, U.K.'}, {'given': 'Richard', 'orcid': '0000-0001-7347-3413', 'family': 'Hawkins', 'affiliation': 'University of York, York, U.K.'}, {'given': 'Yan', 'orcid': '0000-0002-5446-6565', 'family': 'Jia', 'affiliation': 'University of York, York, U.K.'}, {'given': 'John', 'orcid': '0000-0003-0921-5908', 'family': 'Molloy', 'affiliation': 'University of York, York, U.K.'}, {'given': 'Matt', 'orcid': '0000-0002-9941-4531', 'family': 'Osborne', 'affiliation': 'University of York, York, U.K.'}, {'given': 'Colin', 'orcid': '0000-0002-6678-3752', 'family': 'Paterson', 'affiliation': 'University of York, York, U.K.'}, {'given': 'Zoe', 'orcid': '0000-0002-4467-3288', 'family': 'Porter', 'affiliation': 'University of York, York, U.K.'}, {'given': 'Philippa Ryan', 'orcid': '0000-0003-1307-5207', 'family': 'Conmy', 'affiliation': 'University of York, York, U.K.'}]",0,0,0,0,1,0
10.1109/mis.2017.54,"Explaining Explanation, Part 1: Theoretical Foundations",Institute of Electrical and Electronics Engineers (IEEE),2017,,32,3,68-73,['1541-1672'],"[{'given': 'Robert R.', 'orcid': None, 'family': 'Hoffman', 'affiliation': None}, {'given': 'Gary', 'orcid': None, 'family': 'Klein', 'affiliation': None}]",30,0,28,0,74,0
10.1136/bmjhci-2019-100081,Human factors challenges for the safe use of artificial intelligence in patient care,BMJ,2019,"The use of artificial intelligence (AI) in patient care can offer significant benefits. However, there is a lack of independent evaluation considering AI in use. The paper argues that consideration should be given to how AI will be incorporated into clinical processes and services. Human factors challenges that are likely to arise at this level include cognitive aspects (automation bias and human performance), handover and communication between clinicians and AI systems, situation awareness and the impact on the interaction with patients. Human factors research should accompany the development of AI from the outset.",26,1,e100081,['2632-1009'],"[{'given': 'Mark', 'orcid': '0000-0001-6895-946X', 'family': 'Sujan', 'affiliation': None}, {'given': 'Dominic', 'orcid': None, 'family': 'Furniss', 'affiliation': None}, {'given': 'Kath', 'orcid': None, 'family': 'Grundy', 'affiliation': None}, {'given': 'Howard', 'orcid': None, 'family': 'Grundy', 'affiliation': None}, {'given': 'David', 'orcid': None, 'family': 'Nelson', 'affiliation': None}, {'given': 'Matthew', 'orcid': None, 'family': 'Elliott', 'affiliation': None}, {'given': 'Sean', 'orcid': None, 'family': 'White', 'affiliation': None}, {'given': 'Ibrahim', 'orcid': None, 'family': 'Habli', 'affiliation': None}, {'given': 'Nick', 'orcid': None, 'family': 'Reynolds', 'affiliation': None}]",94,1,93,0,104,0
10.1145/2470654.2466246,Benevolent deception in human computer interaction,ACM,2013,"
Though it has been asserted that ""good design is honest,""[42] deception exists throughout human-computer interaction research and practice. Because of the stigma associated with deception-in many cases rightfully so-the research community has focused its energy on eradicating malicious deception, and ignored instances in which deception is positively employed. In this paper we present the notion of benevolent deception, deception aimed at benefitting the user as well as the developer. We frame our discussion using a criminology-inspired model and ground components in various examples. We assert that this provides us with a set of tools and principles that not only helps us with system and interface design, but that opens new research areas. After all, as Cockton claims in his 2004 paper ""ValueCentered HCI"" [13], ""Traditional disciplines have delivered truth. The goal of HCI is to deliver value.""
Author
",,,1863-1872,[],"[{'given': 'Eytan', 'orcid': None, 'family': 'Adar', 'affiliation': 'University of Michigan, Ann Arbor, Michigan, USA'}, {'given': 'Desney S.', 'orcid': None, 'family': 'Tan', 'affiliation': 'Microsoft Research, Redmond, Washington, USA'}, {'given': 'Jaime', 'orcid': None, 'family': 'Teevan', 'affiliation': 'Microsoft Research, Redmond, Washington, USA'}]",37,0,37,0,77,0
10.1145/2702123.2702521,"""Automation Surprise"" in Aviation",ACM,2015,"
Conflicts between the pilot and the automation, when pilots detect but do not understand them, cause ""automation surprise"" situations and jeopardize flight safety. We conducted an experiment in a 3-axis motion flight simulator with 16 pilots equipped with an eye-tracker to analyze their behavior and eye movements during the occurrence of such a situation. The results revealed that this conflict engages participant's attentional abilities resulting in excessive and inefficient visual search patterns. This experiment confirmed the crucial need to design solutions for detecting the occurrence of conflictual situations and to assist the pilots. We therefore proposed an approach to formally identify the occurrence of ""automation surprise"" conflicts based on the analysis of ""silent mode changes"" of the autopilot. A demonstrator was implemented and allowed for the automatic trigger of messages in the cockpit that explains the autopilot behavior. We implemented a real-time demonstrator that was tested as a proof-of-concept with 7 subjects facing 3 different conflicts with automation. The results shown the efficacy of this approach which could be implemented in existing cockpits.
",,,2525-2534,[],"[{'given': 'Frederic', 'orcid': None, 'family': 'Dehais', 'affiliation': 'ISAE, Toulouse, Midi Pyrénée, France'}, {'given': 'Vsevolod', 'orcid': None, 'family': 'Peysakhovich', 'affiliation': 'ISAE, Toulouse, France'}, {'given': 'Sébastien', 'orcid': None, 'family': 'Scannella', 'affiliation': 'ISAE, Toulouse, France'}, {'given': 'Jennifer', 'orcid': None, 'family': 'Fongue', 'affiliation': 'ISAE, Toulouse, France'}, {'given': 'Thibault', 'orcid': None, 'family': 'Gateau', 'affiliation': 'ISAE, Toulouse, France'}]",60,0,58,0,72,0
10.1145/3290605.3300831,Designing Theory-Driven User-Centric Explainable AI,ACM,2019,,,,1-15,[],"[{'given': 'Danding', 'orcid': None, 'family': 'Wang', 'affiliation': 'National University of Singapore, Singapore, Singapore'}, {'given': 'Qian', 'orcid': None, 'family': 'Yang', 'affiliation': 'Carnegie Mellon University, Pittsburgh, PA, PA, USA'}, {'given': 'Ashraf', 'orcid': None, 'family': 'Abdul', 'affiliation': 'National University of Singapore, Singapore, Singapore'}, {'given': 'Brian Y.', 'orcid': None, 'family': 'Lim', 'affiliation': 'National University of Singapore, Singapore, Singapore'}]",507,7,496,2,699,0
10.1145/3313831.3376301,"Re-examining Whether, Why, and How Human-AI Interaction Is Uniquely Difficult to Design",ACM,2020,"Artificial Intelligence (AI) plays an increasingly important role in improving HCI and user experience. Yet many challenges persist in designing and innovating valuable human-AI interactions. For example, AI systems can make unpredictable errors, and these errors damage UX and even lead to undesired societal impact. However, HCI routinely grapples with complex technologies and mitigates their unintended consequences. What makes AI different? What makes human-AI interaction appear particularly difficult to design? This paper investigates these questions. We synthesize prior research, our own design and research experience, and our observations when teaching human-AI interaction. We identify two sources of AI's distinctive design challenges: 1) uncertainty surrounding AI's capabilities, 2) AI's output complexity, spanning from simple to adaptive complex. We identify four levels of AI systems. On each level, designers encounter a different subset of the design challenges. We demonstrate how these findings reveal new insights for designers, researchers, and design tool makers in productively addressing the challenges of human-AI interaction going forward.",,,1-13,[],"[{'given': 'Qian', 'orcid': None, 'family': 'Yang', 'affiliation': 'Carnegie Mellon University, Pittsburgh, PA, USA'}, {'given': 'Aaron', 'orcid': None, 'family': 'Steinfeld', 'affiliation': 'Carnegie Mellon University, Pittsburgh, PA, USA'}, {'given': 'Carolyn', 'orcid': None, 'family': 'Rosé', 'affiliation': 'Carnegie Mellon University, Pittsburgh, PA, USA'}, {'given': 'John', 'orcid': None, 'family': 'Zimmerman', 'affiliation': 'Carnegie Mellon University, Pittsburgh, PA, USA'}]",209,2,206,1,417,0
10.1145/3313831.3376590,Questioning the AI: Informing Design Practices for Explainable AI User Experiences,ACM,2020,"A pervasive design issue of AI systems is their explainability-how to provide appropriate information to help users understand the AI.The technical field of explainable AI (XAI) has produced a rich toolbox of techniques. Designers are now tasked with the challenges of how to select the most suitable XAI techniques and translate them into UX solutions. Informed by our previous work studying design challenges around XAI UX, this work proposes a design process to tackle these challenges. We review our and related prior work to identify requirements that the process should fulfill, and accordingly, propose a Question-Driven Design Process that grounds the user needs, choices of XAI techniques, design, and evaluation of XAI UX all in the user questions. We provide a mapping guide between prototypical user questions and exemplars of XAI techniques, serving as boundary objects to support collaboration between designers and AI engineers. We demonstrate it with a use case of designing XAI for healthcare adverse events prediction, and discuss lessons learned for tackling design challenges of AI systems.CCS Concepts: • Human-centered computing → Interaction design process and methods; • Computing methodologies → Artificial intelligence.",,,1-15,[],"[{'given': 'Q. Vera', 'orcid': None, 'family': 'Liao', 'affiliation': 'IBM Research AI, Yorktown Heights, NY, USA'}, {'given': 'Daniel', 'orcid': None, 'family': 'Gruen', 'affiliation': 'IBM Research, Cambridge, MA, USA'}, {'given': 'Sarah', 'orcid': None, 'family': 'Miller', 'affiliation': 'IBM Research, Cambridge, MA, USA'}]",306,4,301,0,634,0
10.1145/3328485,Toward human-centered AI,Association for Computing Machinery (ACM),2019,,26,4,42-46,"['1072-5520', '1558-3449']","[{'given': 'Wei', 'orcid': None, 'family': 'Xu', 'affiliation': 'Intel Corporation'}]",119,0,108,0,304,0
10.1145/3351095.3372852,Effect of confidence and explanation on accuracy and trust calibration in AI-assisted decision making,ACM,2020,"
Today, AI is being increasingly used to help human experts make decisions in high-stakes scenarios. In these scenarios, full automation is often undesirable, not only due to the significance of the outcome, but also because human experts can draw on their domain knowledge complementary to the model's to ensure task success. We refer to these scenarios as AI-assisted decision making, where the individual strengths of the human and the AI come together to optimize the joint decision outcome. A key to their success is to appropriately calibrate human trust in the AI on a case-by-case basis; knowing when to trust or distrust the AI allows the human expert to appropriately apply their knowledge, improving decision outcomes in cases where the model is likely to perform poorly. This research conducts a case study of AI-assisted decision making in which humans and AI have comparable performance alone, and explores whether features that reveal case-specific model information can calibrate trust and improve the joint performance of the human and AI. Specifically, we study the effect of showing confidence score and local explanation for a particular prediction. Through two human experiments, we show that confidence score can help calibrate people's trust in an AI model, but trust calibration alone is not sufficient to improve AI-assisted decision making, which may also depend on whether the human can bring in enough unique knowledge to complement the AI's errors. We also highlight the problems in using local explanation for AI-assisted decision making scenarios and invite the research community to explore new approaches to explainability for calibrating human trust in AI.
",,,295-305,[],"[{'given': 'Yunfeng', 'orcid': None, 'family': 'Zhang', 'affiliation': 'IBM Research AI'}, {'given': 'Q. Vera', 'orcid': None, 'family': 'Liao', 'affiliation': 'IBM Research AI'}, {'given': 'Rachel K. E.', 'orcid': None, 'family': 'Bellamy', 'affiliation': 'IBM Research AI'}]",451,12,436,3,600,0
10.1145/3397481.3450644,"I Think I Get Your Point, AI! The Illusion of Explanatory Depth in Explainable AI",ACM,2021,"Unintended consequences of deployed AI systems fueled the call for more interpretability in AI systems. Often explainable AI (XAI) systems provide users with simplifying local explanations for individual predictions but leave it up to them to construct a global understanding of the model behavior. In this work, we examine if non-technical users of XAI fall for an illusion of explanatory depth when interpreting additive local explanations. We applied a mixed methods approach consisting of a moderated study with 40 participants and an unmoderated study with 107 crowd workers using a spreadsheet-like explanation interface based on the SHAP framework. We observed what non-technical users do to form their mental models of global AI model behavior from local explanations and how their perception of understanding decreases when it is examined.
CCS CONCEPTS• Human-centered computing → HCI design and evaluation methods; User studies.",,,307-317,[],"[{'given': 'Michael', 'orcid': None, 'family': 'Chromik', 'affiliation': 'LMU Munich, Germany'}, {'given': 'Malin', 'orcid': None, 'family': 'Eiband', 'affiliation': 'LMU Munich, Germany'}, {'given': 'Felicitas', 'orcid': None, 'family': 'Buchner', 'affiliation': 'LMU Munich, Germany'}, {'given': 'Adrian', 'orcid': None, 'family': 'Krüger', 'affiliation': 'LMU Munich, Germany'}, {'given': 'Andreas', 'orcid': None, 'family': 'Butz', 'affiliation': 'LMU Munich, Germany'}]",57,1,56,0,93,0
10.1145/3397481.3450650,Are Explanations Helpful? A Comparative Study of the Effects of Explanations in AI-Assisted Decision-Making,ACM,2021,"This paper contributes to the growing literature in empirical evaluation of explainable AI (XAI) methods by presenting a comparison on the effects of a set of established XAI methods in AI-assisted decision making. Specifically, based on our review of previous literature, we highlight three desirable properties that ideal AI explanations should satisfy-improve people's understanding of the AI model, help people recognize the model uncertainty, and support people's calibrated trust in the model. Through randomized controlled experiments, we evaluate whether four types of common model-agnostic explainable AI methods satisfy these properties on two types of decision making tasks where people perceive themselves as having different levels of domain expertise in (i.e., recidivism prediction and forest cover prediction). Our results show that the effects of AI explanations are largely different on decision making tasks where people have varying levels of domain expertise in, and many AI explanations do not satisfy any of the desirable properties for tasks that people have little domain expertise in. Further, for decision making tasks that people are more knowledgeable, feature contribution explanation is shown to satisfy more desiderata of AI explanations, while the explanation that is considered to resemble how human explain decisions (i.e., counterfactual explanation) does not seem to improve calibrated trust. We conclude by discussing the implications of our study for improving the design of XAI methods to better support human decision making.
CCS CONCEPTS• Human-centered computing → Empirical studies in HCI; • Computing methodologies → Machine learning.",,,318-328,[],"[{'given': 'Xinru', 'orcid': None, 'family': 'Wang', 'affiliation': 'Purdue University, United States'}, {'given': 'Ming', 'orcid': None, 'family': 'Yin', 'affiliation': 'Purdue University, United States'}]",108,1,106,1,224,0
10.1145/3411763.3441342,Operationalizing Human-Centered Perspectives in Explainable AI,ACM,2021,"The realm of Artifcial Intelligence (AI)'s impact on our lives is far reaching -with AI systems proliferating high-stakes domains such as healthcare, fnance, mobility, law, etc., these systems must be able to explain their decision to diverse end-users comprehensibly. Yet the discourse of Explainable AI (XAI) has been predominantly focused on algorithm-centered approaches, sufering from gaps in meeting user needs and exacerbating issues of algorithmic opacity. To address these issues, researchers have called for human-centered approaches to XAI. There is a need to chart the domain and shape the discourse of XAI with refective discussions from diverse stakeholders. The goal of this workshop is to examine how human-centered perspectives in XAI can be operationalized at the conceptual, methodological, and technical levels. Encouraging holistic (historical, sociological, and technical) approaches, we put an emphasis on ""operationalizing"", aiming to produce actionable frameworks, transferable evaluation methods, concrete design guidelines, and articulate a coordinated research agenda for XAI.
CCS CONCEPTS• Human-centered computing → HCI theory, concepts and models; Visualization theory, concepts and paradigms; Visualization design and evaluation methods; • Computing methodologies → Philosophical/theoretical foundations of artifcial intelligence.",,,1-6,[],"[{'given': 'Upol', 'orcid': None, 'family': 'Ehsan', 'affiliation': 'Georgia Institute ofGeorgia Institute of Technology Atlanta GA, USA'}, {'given': 'Philipp', 'orcid': None, 'family': 'Wintersberger', 'affiliation': 'CARISSMA Technische Hochschule Ingolstadt (THI) Ingolstadt Bavaria, Germany'}, {'given': 'Q. Vera', 'orcid': None, 'family': 'Liao', 'affiliation': 'IBM Research AI Yorktown Heights NY, USA'}, {'given': 'Martina', 'orcid': None, 'family': 'Mara', 'affiliation': 'Johannes Kepler University Linz Linz Upper Austria, Austria'}, {'given': 'Marc', 'orcid': None, 'family': 'Streit', 'affiliation': 'Johannes Kepler University LinzJohannes Kepler University Linz Linz Upper Austria, Austria'}, {'given': 'Sandra', 'orcid': None, 'family': 'Wachter', 'affiliation': 'Oxford Internet Institute University of Oxford Oxford England, United Kingdom'}, {'given': 'Andreas', 'orcid': None, 'family': 'Riener', 'affiliation': 'Technische Hochschule Ingolstadt (THI) Ingolstadt Bavaria, Germany'}, {'given': 'Mark O.', 'orcid': None, 'family': 'Riedl', 'affiliation': 'Georgia Institute of Technology Atlanta GA, USA'}]",54,0,52,0,95,0
10.1145/3411764.3445088,Beyond Expertise and Roles: A Framework to Characterize the Stakeholders of Interpretable Machine Learning and their Needs,ACM,2021,"To ensure accountability and mitigate harm, it is critical that diverse stakeholders can interrogate black-box automated systems and find information that is understandable, relevant, and useful to them. In this paper, we eschew prior expertise-and role-based categorizations of interpretability stakeholders in favor of a more granular framework that decouples stakeholders' knowledge from their interpretability needs. We characterize stakeholders by their formal, instrumental, and personal knowledge and how it manifests in the contexts of machine learning, the data domain, and the general milieu. We additionally distill a hierarchical typology of stakeholder needs that distinguishes higher-level domain goals from lower-level interpretability tasks. In assessing the descriptive, evaluative, and generative powers of our framework, we find our more nuanced treatment of stakeholders reveals gaps and opportunities in the interpretability literature, adds precision to the design and comparison of user studies, and facilitates a more reflexive approach to conducting this research.",,,1-16,[],"[{'given': 'Harini', 'orcid': None, 'family': 'Suresh', 'affiliation': 'MIT, United States'}, {'given': 'Steven R.', 'orcid': None, 'family': 'Gomez', 'affiliation': 'MIT, United States'}, {'given': 'Kevin K.', 'orcid': None, 'family': 'Nam', 'affiliation': 'MIT, United States'}, {'given': 'Arvind', 'orcid': None, 'family': 'Satyanarayan', 'affiliation': 'MIT, United States'}]",68,0,68,0,108,0
10.1145/3411764.3445717,Does the Whole Exceed its Parts? The Effect of AI Explanations on Complementary Team Performance,ACM,2021,,,,1-16,[],"[{'given': 'Gagan', 'orcid': None, 'family': 'Bansal', 'affiliation': 'University of Washington, United States'}, {'given': 'Tongshuang', 'orcid': None, 'family': 'Wu', 'affiliation': 'University of Washington, United States'}, {'given': 'Joyce', 'orcid': None, 'family': 'Zhou', 'affiliation': 'Paul G. Allen School of Computer Science &amp; Engineering University of Washington, United States'}, {'given': 'Raymond', 'orcid': None, 'family': 'Fok', 'affiliation': 'Paul G. Allen School of Computer Science &amp; Engineering University of Washington, United States'}, {'given': 'Besmira', 'orcid': None, 'family': 'Nushi', 'affiliation': 'Microsoft Research, United States'}, {'given': 'Ece', 'orcid': None, 'family': 'Kamar', 'affiliation': 'Microsoft Research, United States'}, {'given': 'Marco Tulio', 'orcid': None, 'family': 'Ribeiro', 'affiliation': 'Microsoft Research, United States'}, {'given': 'Daniel', 'orcid': None, 'family': 'Weld', 'affiliation': 'Paul G. Allen School of Computer Science &amp; Engineering University of Washington, United States'}]",359,10,342,7,452,0
