scopus,,,,,,,,,,,,,,,,,,,,,,
Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
Prabhudesai S.; Yang L.; Asthana S.; Huan X.; Vera Liao Q.; Banovic N.,"Prabhudesai, Snehal (57302158500); Yang, Leyao (58177387700); Asthana, Sumit (57209061010); Huan, Xun (55362263900); Vera Liao, Q. (36095944800); Banovic, Nikola (54794750000)",57302158500; 58177387700; 57209061010; 55362263900; 36095944800; 54794750000,Understanding Uncertainty: How Lay Decision-makers Perceive and Interpret Uncertainty in Human-AI Decision Making,2023,"International Conference on Intelligent User Interfaces, Proceedings IUI",,,,379,396,17,35,10.1145/3581641.3584033,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152132042&doi=10.1145%2f3581641.3584033&partnerID=40&md5=9574365dc41056e90595baab33e766f9,"Decision Support Systems (DSS) based on Machine Learning (ML) often aim to assist lay decision-makers, who are not math-savvy, in making high-stakes decisions. However, existing ML-based DSS are not always transparent about the probabilistic nature of ML predictions and how uncertain each prediction is. This lack of transparency could give lay decision-makers a false sense of reliability. Growing calls for AI transparency have led to increasing efforts to quantify and communicate model uncertainty. However, there are still gaps in knowledge regarding how and why the decision-makers utilize ML uncertainty information in their decision process. Here, we conducted a qualitative, think-aloud user study with 17 lay decision-makers who interacted with three different DSS: 1) interactive visualization, 2) DSS based on an ML model that provides predictions without uncertainty information, and 3) the same DSS with uncertainty information. Our qualitative analysis found that communicating uncertainty about ML predictions forced participants to slow down and think analytically about their decisions. This in turn made participants more vigilant, resulting in reduction in over-reliance on ML-based DSS. Our work contributes empirical knowledge on how lay decision-makers perceive, interpret, and make use of uncertainty information when interacting with DSS. Such foundational knowledge informs the design of future ML-based DSS that embrace transparent uncertainty communication.  © 2023 ACM.",Decision-making; Machine Learning; Uncertainty,Decision support systems; Forecasting; Machine learning; Transparency; Uncertainty analysis; Visualization; Decision makers; Decision process; Decisions makings; Machine-learning; Modeling uncertainties; On-machines; Probabilistics; Think aloud; Uncertainty; Uncertainty informations; Decision making,Conference paper,Final,,Scopus,2-s2.0-85152132042
Nauta M.; Hegeman J.H.; Geerdink J.; Schlötterer J.; Keulen M.; Seifert C.,"Nauta, Meike (57194974711); Hegeman, Johannes H. (33367775400); Geerdink, Jeroen (57200256008); Schlötterer, Jörg (56568331100); Keulen, Maurice van (6603274087); Seifert, Christin (8850014900)",57194974711; 33367775400; 57200256008; 56568331100; 6603274087; 8850014900,Interpreting and Correcting Medical Image Classification with PIP-Net,2024,Communications in Computer and Information Science,1947,,,198,215,17,9,10.1007/978-3-031-50396-2_11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184120156&doi=10.1007%2f978-3-031-50396-2_11&partnerID=40&md5=79fd00affdfcec892203436d6ac5a122,"Part-prototype models are explainable-by-design image classifiers, and a promising alternative to black box AI. This paper explores the applicability and potential of interpretable machine learning, in particular PIP-Net, for automated diagnosis support on real-world medical imaging data. PIP-Net learns human-understandable prototypical image parts and we evaluate its accuracy and interpretability for fracture detection and skin cancer diagnosis. We find that PIP-Net’s decision making process is in line with medical classification standards, while only provided with image-level class labels. Because of PIP-Net’s unsupervised pretraining of prototypes, data quality problems such as undesired text in an X-ray or labelling errors can be easily identified. Additionally, we are the first to show that humans can manually correct the reasoning of PIP-Net by directly disabling undesired prototypes. We conclude that part-prototype models are promising for medical applications due to their interpretability and potential for advanced model debugging. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.",Explainable AI; hybrid intelligence; interpretable machine learning; medical imaging; prototypes,Computer aided diagnosis; Decision making; Image classification; Medical applications; Medical imaging; Black boxes; Explainable AI; Hybrid intelligence; Image Classifiers; Interpretability; Interpretable machine learning; Machine-learning; Medical image classification; Prototype; Prototype models; Machine learning,Conference paper,Final,,Scopus,2-s2.0-85184120156
Plass M.; Kargl M.; Evans T.; Brcic L.; Regitnig P.; Geißler C.; Carvalho R.; Jansen C.; Zerbe N.; Holzinger A.; Müller H.,"Plass, Markus (57190968111); Kargl, Michaela (57214681139); Evans, Theodore (57552757100); Brcic, Luka (7801511896); Regitnig, Peter (55894295100); Geißler, Christian (57219343065); Carvalho, Rita (57353992700); Jansen, Christoph (56286202100); Zerbe, Norman (37058017200); Holzinger, Andreas (23396282000); Müller, Heimo (7404944998)",57190968111; 57214681139; 57552757100; 7801511896; 55894295100; 57219343065; 57353992700; 56286202100; 37058017200; 23396282000; 7404944998,Human-AI Interfaces are a Central Component of Trustworthy AI,2023,Intelligent Systems Reference Library,232,,,225,256,31,4,10.1007/978-3-031-12807-3_11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140745775&doi=10.1007%2f978-3-031-12807-3_11&partnerID=40&md5=f3f15e3bd1c9c24e20420cd2658abb37,"This chapter demonstrates the crucial role that human-AI interfaces play in conveying the trustworthiness of AI solutions to their users. Explainability is a central component of such interfaces, particularly in high-stake domains where human oversight is essential: justice, finance, security, and medicine. To successfully build and communicate trustworthiness, a user-centered approach to the design and development of AI solutions and their human interfaces is essential. In this chapter, we explain how proven methods for stakeholder analysis and user testing from human-computer interaction (HCI) research can be adapted to human-AI interaction (HAII) in support of this goal. The practical implementation of a user-centric approach is described within the context of AI applications in computational pathology. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.",,,Book chapter,Final,,Scopus,2-s2.0-85140745775
Anderegg A.H.A.; Balakrishnan K.; Mulcare S.P.,"Anderegg, Alfred H. Andy (26648068800); Balakrishnan, Krishnan (56767656100); Mulcare, Shweta P. (57411381600)",26648068800; 56767656100; 57411381600,Predicting New Risks: Crew Resource Management in a Human-Machine Team,2022,AIAA AVIATION 2022 Forum,,,AIAA 2022-3833,,,,0,10.2514/6.2022-3833,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135087011&doi=10.2514%2f6.2022-3833&partnerID=40&md5=4ae26ed5013642eda786ef7cd4c1deb1,"Increased operational complexity often adds new hazards with procedural controls that increase the crew task loads. The duties shared among crew members must constantly be coordinated and rebalanced. Crew resource management (CRM) reduces the likelihood of errors by building and maintaining flight crew cohesion. CRM clarifies the authorities, communications process, decision making, and coordination to manage distractions and uncertainties that might impede sound aeronautical decision making. Simplified vehicle operations are redefining the nature of a flight crew, bringing humans and machines into peer relationships with complementary cognitive roles. As operations continue to evolve toward remotely piloted and uncrewed vehicles, more of the functions will move to automated crew members. In prior work we developed cognitive decision models to reflect different peer and supervisory roles in decision-making. This paper examines the information sharing, shared accountability, and other CRM principles as they would apply to a crew comprised of people and machines in various roles. Automated crew members are allocated roles that can be renegotiated between the parties with a human pilot ultimately having supervisory controls. In CRM, control procedures assume the crew can communicate in real-time to create situational awareness, shared understanding and reasoning for informed decisions and actions. In developing the application of CRM to a human-machine team, this paper extends the artificial intelligence concept of explainability to a bidirectional exchange between human and automated crew members. The paper shows how interfaces must enable crew member engagement to verify situations and perceptions, confirm mental models, and develop a coordinated course of action. © 2022, American Institute of Aeronautics and Astronautics Inc, AIAA. All rights reserved.",AI; AI Explainability; Autonomous Systems; Crew Resource Management; Distributed Decision Making; Human-Machine Teaming; Predictive analytics; Run-time Assurance,Automation; Aviation; Behavioral research; Human resource management; Natural resources management; Predictive analytics; Resource allocation; AI explainability; Autonomous system; Crew members; Crew resource managements; Distributed decision making; Distributed-decision makings; Human-machine; Human-machine teaming; Run-time assurance; Runtimes; Decision making,Conference paper,Final,,Scopus,2-s2.0-85135087011
Panigutti C.; Perotti A.; Panisson A.; Bajardi P.; Pedreschi D.,"Panigutti, Cecilia (57194345147); Perotti, Alan (58321306400); Panisson, André (9133831400); Bajardi, Paolo (35114469000); Pedreschi, Dino (6603935985)",57194345147; 58321306400; 9133831400; 35114469000; 6603935985,FairLens: Auditing black-box clinical decision support systems,2021,Information Processing and Management,58,5,102657,,,,55,10.1016/j.ipm.2021.102657,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108332873&doi=10.1016%2fj.ipm.2021.102657&partnerID=40&md5=5baef6cbf23a8b6c54abb95fffcbc14d,"The pervasive application of algorithmic decision-making is raising concerns on the risk of unintended bias in AI systems deployed in critical settings such as healthcare. The detection and mitigation of model bias is a very delicate task that should be tackled with care and involving domain experts in the loop. In this paper we introduce FairLens, a methodology for discovering and explaining biases. We show how this tool can audit a fictional commercial black-box model acting as a clinical decision support system (DSS). In this scenario, the healthcare facility experts can use FairLens on their historical data to discover the biases of the model before incorporating it into the clinical decision flow. FairLens first stratifies the available patient data according to demographic attributes such as age, ethnicity, gender and healthcare insurance; it then assesses the model performance on such groups highlighting the most common misclassifications. Finally, FairLens allows the expert to examine one misclassification of interest by explaining which elements of the affected patients’ clinical history drive the model error in the problematic group. We validate FairLens’ ability to highlight bias in multilabel clinical DSSs introducing a multilabel-appropriate metric of disparity and proving its efficacy against other standard metrics. © 2021",Clinical decision support systems; eXplainable artificial intelligence; Fairness and bias in machine learning systems,Decision making; Digital storage; Health care; Hospital data processing; Machine learning; Algorithmics; Black boxes; Clinical decision support systems; Decisions makings; Explainable artificial intelligence; Fairness and bias in machine learning system; Misclassifications; Multi-labels; Multilabel; Pervasive applications; Decision support systems,Article,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85108332873
He Y.; Gu B.; Li C.; Yan L.,"He, Yuanqi (59007486100); Gu, Bin (7201864428); Li, Chunxiao (58086476700); Yan, Lingling (59124545200)",59007486100; 7201864428; 58086476700; 59124545200,Black-box Models’ Explainability: A Theoretical and Practical Perspective,2023,"29th Annual Americas Conference on Information Systems, AMCIS 2023",,,,,,,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192879269&partnerID=40&md5=f13ae0e3a9e97b6db517fa7aa2eabe0f,"The lack of explainability remains a critical challenge to the widespread adoption of artificial intelligence (AI) in many fields. “Understanding brings in trust”, while machine-learning models offer superior prediction accuracy, understanding the underlying logic is equally important to foster trust in these models. In this paper, we present eXplainable AI (XAI) as a solution to this challenge. Our research focuses on three key aspects of XAI: mathematics, humanities and social sciences, and practical applications. We demonstrated the feasibility of XAI through the use of artificially-constructed and model-derived ground truth, and verified performances of different XAIs. We also explored three dimensions of explainable consistency and emphasized the significance of human-machine consistency. Finally, we applied our research to a real-world scenario by cooperating with a national bank in China. Our findings highlight that XAI is both mathematically and practically meaningful, but more efforts need to be dedicated to this human-machine communication field. © 2023 29th Annual Americas Conference on Information Systems, AMCIS 2023. All rights reserved.",explainability-accuracy frontiers; eXplainable Artificial Intelligence; human-machine consistency,Artificial intelligence; Information use; Black box modelling; Critical challenges; Explainability-accuracy frontier; Explainable artificial intelligence; Human-machine; Human-machine consistency; Humanities and social science; Machine learning models; Prediction accuracy; Research focus; Information systems,Conference paper,Final,,Scopus,2-s2.0-85192879269
de Boer M.H.T.; Vethman S.; Bakker R.M.; Adhikari A.; Marcus M.; de Greeff J.; van der Waa J.; Schoonderwoerd T.A.J.; Tolios I.; van Zoelen E.M.; Hillerström F.; Kamphorst B.,"de Boer, Maaike H.T. (56021703700); Vethman, Steven (57223035728); Bakker, Roos M. (57611467200); Adhikari, Ajaya (57209912511); Marcus, Michiel (57201020815); de Greeff, Joachim (35193645900); van der Waa, Jasper (57193858656); Schoonderwoerd, Tjeerd A.J. (57210144415); Tolios, Ioannis (57219974059); van Zoelen, Emma M. (57211354974); Hillerström, Fieke (56453263100); Kamphorst, Bart (36782239600)",56021703700; 57223035728; 57611467200; 57209912511; 57201020815; 35193645900; 57193858656; 57210144415; 57219974059; 57211354974; 56453263100; 36782239600,"The FATE System Iterated: Fair, Transparent and Explainable Decision Making in a Juridical Case",2022,CEUR Workshop Proceedings,3121,,,,,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128741731&partnerID=40&md5=6f80ed6f95e368a246fd8487f49bd14a,"The goal of the FATE system is decision support with use of state-of-the-art human-AI co-learning, explainable AI and fair, secure and privacy-preserving usage of data. This AI-based support system is a general system, in which the modules can be tuned to specific use cases. The FATE system is designed to address different user roles, such as a researcher, domain expert/consultant and subject/patient, each with their own requirements. Having examined a Diabetes Type 2 use case before, in this paper we slightly iterate the FATE system and focus on a juridical use case. For a given new juridical case the relevant older court cases are suggested by the system. The relevant older cases can be explained using the eXplainable AI (XAI) module, and the system can be improved based on feedback about the relevant cases using the Co-learning module through interaction with a user. In the Bias module, the use of the system is investigated for potential bias by inspecting the properties of suggested cases. Secure Learning offers privacy-by-design alternatives for functionality found in the aforementioned modules. These results show how the generic FATE system can be implemented in a number of real-world use cases. In future work we plan to explore more use cases within this system. © 2022 Copyright for this paper by its authors",Bias; Co-Learning; Explainable AI; FAIR AI; Hybrid AI; Knowledge Engineering; Secure Learning,Decision support systems; Knowledge engineering; Learning systems; Bias; Co-learning; Decision supports; Decisions makings; Explainable AI; FAIR AI; Hybrid AI; Privacy preserving; Secure learning; State of the art; Decision making,Conference paper,Final,,Scopus,2-s2.0-85128741731
Sheu R.-K.; Pardeshi M.S.; Pai K.-C.; Chen L.-C.; Wu C.-L.; Chen W.-C.,"Sheu, Ruey-Kai (7003750859); Pardeshi, Mayuresh Sunil (57210279276); Pai, Kai-Chih (36987258300); Chen, Lun-Chi (57210279023); Wu, Chieh-Liang (7501672595); Chen, Wei-Cheng (57876812500)",7003750859; 57210279276; 36987258300; 57210279023; 7501672595; 57876812500,Interpretable Classification of Pneumonia Infection Using eXplainable AI (XAI-ICP),2023,IEEE Access,11,,,28896,28919,23,24,10.1109/ACCESS.2023.3255403,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149878571&doi=10.1109%2fACCESS.2023.3255403&partnerID=40&md5=11b5fba4d101e70dc49d11f9f4c4b151,"Open-box models in the medical domain have high acceptance and demand by many medical examiners. Even though the accuracy predicted by most of convolutional neural network (CNN) models is high, it is still not convincing as the detailed discussion regarding the outcome is semi-transparent in the functioning process. Pneumonia is known as one of the top contagious infections that makes most of the population affected due to low immunity. Therefore, the goal of this paper is to implement an interpretable classification of pneumonia infection using eXplainable AI (XAI-ICP). Thus, XAI-ICP is the highly efficient system designed to solve this challenge by adapting to the recent population health conditions. The aim is to design an interpretable deep classification and transfer learning based evaluation for pneumonia infection classification. The model is primarily pre-trained using the open Chest X-Ray (CXR) dataset from National Institutes of Health (NIH). Whereas, the training input and testing given to this system is Taichung Veterans General Hospital (TCVGH) for independent learning, Taiwan + VinDr open dataset for transfer learning of pneumonia affected patients with labeled CXR images possessing three features of infiltrate, cardiomegaly and effusion. The data labeling is performed by the medical examiners with the XAI human-in-the-loop approach. XAI-ICP demonstrates the XAI based reconfigurable DCNN with human-in-the-loop as a novel approach. The interpretable deep classification provides detailed transparency analysis and transfer learning for competitive accuracy. The purpose of this work, to design a re-configurable model that can continuously improve itself by using a feedback system and provide feasibility for the model deployment across multiple countries to provide an efficient system for the pneumonia infection classification. The designed model then provides detailed decisions taken at each step as transparency and features used within the algorithm for the pneumonia classification during the hospitalization. Thus, the scope can be given as explainable AI usage for the diagnosis classification using data preprocessing and interpretable deep convolutional neural network by the CXR evaluation. The accuracy achieved by using independent learning classification is 92.14% and is further improved based on successive transfer learning based evaluation is 93.29%. The XAI-ICP model adapts to the different populations by using transfer learning, while providing competitive results to the affected conditions. © 2013 IEEE.",Medical XAI; pneumonia infection; transfer learning; XAI pnuemonia,Classification (of information); Computer aided diagnosis; Deep neural networks; Hospitals; Medical computing; Medical imaging; Pulmonary diseases; Statistical tests; Transparency; Convolutional neural network; Deep classifications; Independent learning; Medical diagnostic imaging; Medical XAI; Pneumonia infection; Solid modelling; Transfer learning; XAI pnuemonia; Convolution,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85149878571
Gowtham Reddy A.,"Gowtham Reddy, Abbavaram (57225089809)",57225089809,Causality in Neural Networks - An Extended Abstract,2021,"AIES 2021 - Proceedings of the 2021 AAAI/ACM Conference on AI, Ethics, and Society",,,,271,272,1,1,10.1145/3461702.3462467,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112440996&doi=10.1145%2f3461702.3462467&partnerID=40&md5=58a202fcc178996266d4303788e64d67,"Causal reasoning is the main learning and explanation tool used by humans. AI systems should possess causal reasoning capabilities to be deployed in the real world with trust and reliability. Introducing the ideas of causality to machine learning helps in providing better learning and explainable models. Explainability, causal disentanglement are some important aspects of any machine learning model. Causal explanations are required to believe in a model's decision and causal disentanglement learning is important for transfer learning applications. We exploit the ideas of causality to be used in deep learning models to achieve better and causally explainable models that are useful in fairness, disentangled representation, etc. © 2021 Owner/Author.",causality; counterfactuals; disentanglement; explainability; machine learning; neural networks,Deep learning; Neural networks; Philosophical aspects; Transfer learning; AI systems; Causal explanations; Causal reasoning; Extended abstracts; Learning models; Machine learning models; Real-world; Learning systems,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85112440996
Chen X.; Tang T.; Ren J.; Lee I.; Chen H.; Xia F.,"Chen, Xiangtai (57220742205); Tang, Tao (58134528100); Ren, Jing (57211853303); Lee, Ivan (7404442312); Chen, Honglong (24174425300); Xia, Feng (35239267100)",57220742205; 58134528100; 57211853303; 7404442312; 24174425300; 35239267100,Heterogeneous Graph Learning for Explainable Recommendation over Academic Networks,2021,ACM International Conference Proceeding Series,,,,29,36,7,6,10.1145/3498851.3498926,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128549969&doi=10.1145%2f3498851.3498926&partnerID=40&md5=7c5ce130773150cab4ac9d4127bd9104,"With the explosive growth of new graduates with research degrees every year, unprecedented challenges arise for early-career researchers to find a job at a suitable institution. This study aims to understand the behavior of academic job transition and hence recommend suitable institutions for PhD graduates. Specifically, we design a deep learning model to predict the career move of early-career researchers and provide suggestions. The design is built on top of scholarly/academic networks, which contains abundant information about scientific collaboration among scholars and institutions. We construct a heterogeneous scholarly network to facilitate the exploring of the behavior of career moves and the recommendation of institutions for scholars. We devise an unsupervised learning model called HAI (Heterogeneous graph Attention InfoMax) which aggregates attention mechanism and mutual information for institution recommendation. Moreover, we propose scholar attention and meta-path attention to discover the hidden relationships between several meta-paths. With these mechanisms, HAI provides ordered recommendations with explainability. We evaluate HAI upon a real-world dataset against baseline methods. Experimental results verify the effectiveness and efficiency of our approach.  © 2021 ACM.",academic social networks; explainability; graph learning; heterogeneous networks; recommender systems,Deep learning; Academic jobs; Academic social network; Attention mechanisms; Explainability; Explosive growth; Graph learning; Heterogeneous graph; Infomax; Learning models; Scientific collaboration; Heterogeneous networks,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85128549969
Schloer N.; Boos S.; Harst F.; Lanquillon C.; Ohrnberger M.; Schoch F.; Stache N.C.; Wittenberg C.,"Schloer, Nicholas (57270422600); Boos, Sabine (58629458200); Harst, Felix (57282328300); Lanquillon, Carsten (24178557600); Ohrnberger, Morris (57221819114); Schoch, Fabian (58629251600); Stache, Nicolaj C. (15924610900); Wittenberg, Carsten (7006561833)",57270422600; 58629458200; 57282328300; 24178557600; 57221819114; 58629251600; 15924610900; 7006561833,Optimizing the Industrial Human-Machine Interface: Holographic Surfaces and Their Role in Anomaly Detection,2024,Communications in Computer and Information Science,2120 CCIS,,,430,435,5,1,10.1007/978-3-031-62110-9_47,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196738230&doi=10.1007%2f978-3-031-62110-9_47&partnerID=40&md5=7ede322fe909bb16618cce3bef574cdb,"This abstract explores the integration of holographic surfaces into industrial human-machine interfaces (HMIs) to optimize anomaly detection processes. By utilizing this cutting-edge technology, industrial environments can achieve more efficient and effective anomaly detection, ultimately leading to increased safety, productivity, and operational integrity. Holographic user interfaces provide a novel approach by visualizing complex data in an immersive, intuitive, and interactive way. By projecting three-dimensional representations of equipment, processes, and real-time data onto user interfaces, operators can quickly recognize anomalies and deviations from normal operating conditions. The holographic interfaces provide contextual awareness, improving operators’ understanding of the industrial environment and enabling them to make informed decisions with confidence. Holographic interfaces have the potential to revolutionize anomaly detection in industrial HMIs, resulting in improved efficiency and safety in industrial operations. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.",Anomaly detection; Artificial Intelligence; Explainable AI; Human-Computer Interaction; Mixed Reality; Predictive Maintenance; Predictive Quality; process parameter optimization,Accident prevention; Anomaly detection; Holography; Mixed reality; User interfaces; Anomaly detection; Cutting edge technology; Detection process; Explainable AI; Human Machine Interface; Industrial environments; Mixed reality; Predictive maintenance; Predictive quality; Process parameters optimizations; Human computer interaction,Conference paper,Final,,Scopus,2-s2.0-85196738230
Ehsan U.; Saha K.; De Choudhury M.; Riedl M.O.,"Ehsan, Upol (57195223484); Saha, Koustuv (57194395042); De Choudhury, Munmun (18433530100); Riedl, Mark O. (7004421643)",57195223484; 57194395042; 18433530100; 7004421643,Charting the Sociotechnical Gap in Explainable AI: A Framework to Address the Gap in XAI,2023,Proceedings of the ACM on Human-Computer Interaction,7,1 CSCW,34,,,,40,10.1145/3579467,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153945382&doi=10.1145%2f3579467&partnerID=40&md5=ff3b1929d8f8abc61e96c5327d931c2b,"Explainable AI (XAI) systems are sociotechnical in nature; thus, they are subject to the sociotechnical gap-divide between the technical affordances and the social needs. However, charting this gap is challenging. In the context of XAI, we argue that charting the gap improves our problem understanding, which can reflexively provide actionable insights to improve explainability. Utilizing two case studies in distinct domains, we empirically derive a framework that facilitates systematic charting of the sociotechnical gap by connecting AI guidelines in the context of XAI and elucidating how to use them to address the gap. We apply the framework to a third case in a new domain, showcasing its affordances. Finally, we discuss conceptual implications of the framework, share practical considerations in its operationalization, and offer guidance on transferring it to new contexts. By making conceptual and practical contributions to understanding the sociotechnical gap in XAI, the framework expands the XAI design space.  © 2023 Owner/Author.",AI ethics; AI governance; explainable ai; fate; framework; human-AI interaction; human-centered explainable ai; organizational dynamics; participatory design; responsible ai; sociotechnical gap; user study,AI ethic; AI governance; Explainable ai; Fate; Framework; Human-AI interaction; Human-centered explainable ai; Organizational dynamics; Participatory design; Responsible ai; Sociotechnical; Sociotechnical gap; User study,Article,Final,All Open Access; Bronze Open Access; Green Open Access,Scopus,2-s2.0-85153945382
Wang X.; Liang C.; Yin M.,"Wang, Xinru (57223025368); Liang, Chen (57194243606); Yin, Ming (57220860849)",57223025368; 57194243606; 57220860849,The Effects of AI Biases and Explanations on Human Decision Fairness: A Case Study of Bidding in Rental Housing Markets,2023,IJCAI International Joint Conference on Artificial Intelligence,2023-August,,,3076,3084,8,8,10.24963/ijcai.2023/343,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170401323&doi=10.24963%2fijcai.2023%2f343&partnerID=40&md5=bef8466f9afaa8212fcf894ec08858f9,"The use of AI-based decision aids in diverse domains has inspired many empirical investigations into how AI models' decision recommendations impact humans' decision accuracy in AI-assisted decision making, while explorations on the impacts on humans' decision fairness are largely lacking despite their clear importance. In this paper, using a real-world business decision making scenario-bidding in rental housing markets-as our testbed, we present an experimental study on understanding how the bias level of the AI-based decision aid as well as the provision of AI explanations affect the fairness level of humans' decisions, both during and after their usage of the decision aid. Our results suggest that when people are assisted by an AI-based decision aid, both the higher level of racial biases the decision aid exhibits and surprisingly, the presence of AI explanations, result in more unfair human decisions across racial groups. Moreover, these impacts are partly made through triggering humans' “disparate interactions” with AI. However, regardless of the AI bias level and the presence of AI explanations, when people return to make independent decisions after their usage of the AI-based decision aid, their decisions no longer exhibit significant unfairness across racial groups. © 2023 International Joint Conferences on Artificial Intelligence. All rights reserved.",,Apartment houses; Artificial intelligence; Behavioral research; Commerce; Decision support systems; Bias levels; Case-studies; Decision accuracies; Decision aids; Decisions makings; Diverse domains; Empirical investigation; Housing markets; Human decisions; Modeling decisions; Decision making,Conference paper,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85170401323
Engelmann D.C.; Ferrando A.; Panisson A.R.; Ancona D.; Bordini R.H.; Mascardi V.,"Engelmann, Debora C. (57201774580); Ferrando, Angelo (55669011800); Panisson, Alison R. (56422142500); Ancona, Davide (7003625858); Bordini, Rafael H. (57203102955); Mascardi, Viviana (6506722954)",57201774580; 55669011800; 56422142500; 7003625858; 57203102955; 6506722954,RV4JaCa—Towards Runtime Verification of Multi-Agent Systems and Robotic Applications,2023,Robotics,12,2,49,,,,8,10.3390/robotics12020049,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153763040&doi=10.3390%2frobotics12020049&partnerID=40&md5=ee7e9c42cd6eadde971edfbbdf08012b,"This paper presents a Runtime Verification (RV) approach for Multi-Agent Systems (MAS) using the JaCaMo framework. Our objective is to bring a layer of security to the MAS. This is achieved keeping in mind possible safety-critical uses of the MAS, such as robotic applications. This layer is capable of controlling events during the execution of the system without needing a specific implementation in the behaviour of each agent to recognise the events. In this paper, we mainly focus on MAS when used in the context of hybrid intelligence. This use requires communication between software agents and human beings. In some cases, communication takes place via natural language dialogues. However, this kind of communication brings us to a concern related to controlling the flow of dialogue so that agents can prevent any change in the topic of discussion that could impair their reasoning. The latter may be a problem and undermine the development of the software agents. In this paper, we tackle this problem by proposing and demonstrating the implementation of a framework that aims to control the dialogue flow in a MAS; especially when the MAS communicates with the user through natural language to aid decision-making in a hospital bed allocation scenario. © 2023 by the authors.",dialogue systems; explainable artificial intelligence; JaCaMo framework; multi-agent systems; robotic applications; runtime verification,,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85153763040
Lyu Y.; Liang P.P.; Deng Z.; Salakhutdinov R.; Morency L.-P.,"Lyu, Yiwei (57211207258); Liang, Paul Pu (57203051940); Deng, Zihao (57350186500); Salakhutdinov, Ruslan (57203057355); Morency, Louis-Philippe (6603047400)",57211207258; 57203051940; 57350186500; 57203057355; 6603047400,DIME: Fine-grained Interpretations of Multimodal Models via Disentangled Local Explanations,2022,"AIES 2022 - Proceedings of the 2022 AAAI/ACM Conference on AI, Ethics, and Society",,,,455,467,12,13,10.1145/3514094.3534148,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137165724&doi=10.1145%2f3514094.3534148&partnerID=40&md5=6a30f3d27f98a2740ac7cbf72130d948,"The ability for a human to understand an Artificial Intelligence (AI) model's decision-making process is critical in enabling stakeholders to visualize model behavior, perform model debugging, promote trust in AI models, and assist in collaborative human-AI decision-making. As a result, the research fields of interpretable and explainable AI have gained traction within AI communities as well as interdisciplinary scientists seeking to apply AI in their subject areas. In this paper, we focus on advancing the state-of-The-Art in interpreting multimodal models-a class of machine learning methods that tackle core challenges in representing and capturing interactions between heterogeneous data sources such as images, text, audio, and time-series data. Multimodal models have proliferated numerous real-world applications across healthcare, robotics, multimedia, affective computing, and human-computer interaction. By performing model disentanglement into unimodal contributions (UC) and multimodal interactions (MI), our proposed approach, DIME, enables accurate and fine-grained analysis of multimodal models while maintaining generality across arbitrary modalities, model architectures, and tasks. Through a comprehensive suite of experiments on both synthetic and real-world multimodal tasks, we show that DIME generates accurate disentangled explanations, helps users of multimodal models gain a deeper understanding of model behavior, and presents a step towards debugging and improving these models for real-world deployment.  © 2022 Owner/Author.",explainability; interpretability; multimodal machine learning; visualization,Decision making; Human computer interaction; Human robot interaction; Interactive computer systems; Learning systems; Explainability; Fine grained; Intelligence models; Interpretability; Machine-learning; Modeling behaviour; Multi-modal; Multimodal machine learning; Multimodal models; Real-world; Machine learning,Conference paper,Final,All Open Access; Bronze Open Access; Green Open Access,Scopus,2-s2.0-85137165724
