ieee,,,,,,,,,,,,,,,,,,,,,,,,,,,
Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Securing SCADA Systems: A Protocol-Based Intrusion Detection Approach with Shapley Analysis,S. Ustebay; B. B. Akgün; P. Gaj,"Computer Engineering, Istanbul Medeniyet University, Istanbul, Türkiye; Computer Engineering, Istanbul Medeniyet University, Istanbul, Türkiye; Istributed systems and IT devices, Silesian University of Technology, Gliwice, Poland",2024 Innovations in Intelligent Systems and Applications Conference (ASYU),28 Nov 2024,2024,,,1,7,"This paper presents an approach to enhancing the security of Supervisory Control and Data Acquisition (SCADA) systems through the development of Explainable Intrusion Detection Systems (X-IDS). SCADA systems play a crucial role in managing industrial processes and critical infrastructure, yet they are increasingly targeted by cyberattacks, posing significant risks to operational integrity. Leveraging Machine Learning (ML) techniques, particularly focused on network protocols involved in communication with SCADA HMI, this study proposes a protocol-based layered IDS framework to mitigate potential threats. Evaluation of the proposed models demonstrates promising results, achieving high accuracy rates surpassing previous studies. The performance metrics, including accuracy, precision, recall, and F1 scores, along with Brier scores, are comprehensively analyzed to gauge the effectiveness of the models. Additionally, Explainable Machine Learning (XAI) techniques such as SHAP values provide transparent insights into the model's decision-making process. The study highlights the importance of securing HMIs within SCADA systems and offers valuable insights for future research directions in enhancing overall network security.",2770-7946,979-8-3503-7943-3,10.1109/ASYU62119.2024.10756979,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10756979,IDS;SCADA (Supervisory Control and Data Acquisition);Human Machine Interface;Machine Learning;Industrial Control Systems (ICS);Explainable Intrusion Detection Systems (x-ids),Measurement;Technological innovation;Accuracy;Protocols;Decision making;SCADA systems;Intrusion detection;Machine learning;Network security;Intelligent systems,,,,17,IEEE,28 Nov 2024,,,IEEE,IEEE Conferences
Towards Model-informed Precision Dosing with Expert-in-the-loop Machine Learning,Y. Kang; Y. -W. Chiu; M. -Y. Lin; F. -Y. Su; S. -T. Huang,"Department of Information Management, National Sun Yat-sen University, Kaohsiung, Taiwan; Department of Internal Medicine, Division of Nephrology, Kaohsiung Medical University Hospital, Kaohsiung, Taiwan; Department of Internal Medicine, Division of Nephrology, Kaohsiung Medical University Hospital, Kaohsiung, Taiwan; Department of Information Management, National Sun Yat-sen University, Kaohsiung, Taiwan; Department of Information Management, National Sun Yat-sen University, Kaohsiung, Taiwan",2021 IEEE 22nd International Conference on Information Reuse and Integration for Data Science (IRI),17 Nov 2021,2021,,,342,347,"Machine Learning (ML) and its applications have been transforming our lives but it is also creating issues related to the development of fair, accountable, transparent, and ethical Artificial Intelligence. As the ML models are not fully comprehensible yet, it is obvious that we still need humans to be part of algorithmic decision-making processes. In this paper, we consider a ML framework that may accelerate model learning and improve its interpretability by incorporating human experts into the model learning loop. We propose a novel human-in-the-loop ML framework aimed at dealing with learning problems that the cost of data annotation is high and the lack of appropriate data to model the association between the target tasks and the input features. With an application to precision dosing, our experimental results show that the approach can learn interpretable rules from data and may potentially lower experts' workload by replacing data annotation with rule representation editing. The approach may also help remove algorithmic bias by introducing experts' feedback into the iterative model learning process.",,978-1-6654-3875-9,10.1109/IRI51335.2021.00053,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9599105,Human-in-the-loop Machine Learning;Rule Learning;Representation Learning;Explainable Artificial Intelligence;Model-informed Precision Dosing,Ethics;Machine learning algorithms;Costs;Annotations;Decision making;Machine learning;Data models,,2,,36,IEEE,17 Nov 2021,,,IEEE,IEEE Conferences
Visualizing and Comparing Machine Learning Predictions to Improve Human-AI Teaming on the Example of Cell Lineage,J. Hong; R. Maciejewski; A. Trubuil; T. Isenberg,"Arizona State University, Tempe, AZ, USA; Arizona State University, Tempe, AZ, USA; Université Paris-Saclay, INRAE, Villeurbanne, France; Université Paris-Saclay, CNRS, Inria, Palaiseau, France",IEEE Transactions on Visualization and Computer Graphics,28 Feb 2024,2024,30,4,1956,1969,"We visualize the predictions of multiple machine learning models to help biologists as they interactively make decisions about cell lineage—the development of a (plant) embryo from a single ovum cell. Based on a confocal microscopy dataset, traditionally biologists manually constructed the cell lineage, starting from this observation and reasoning backward in time to establish their inheritance. To speed up this tedious process, we make use of machine learning (ML) models trained on a database of manually established cell lineages to assist the biologist in cell assignment. Most biologists, however, are not familiar with ML, nor is it clear to them which model best predicts the embryo's development. We thus have developed a visualization system that is designed to support biologists in exploring and comparing ML models, checking the model predictions, detecting possible ML model mistakes, and deciding on the most likely embryo development. To evaluate our proposed system, we deployed our interface with six biologists in an observational study. Our results show that the visual representations of machine learning are easily understandable, and our tool, LineageD+, could potentially increase biologists’ working efficiency and enhance the understanding of embryos.",1941-0506,,10.1109/TVCG.2023.3302308,Inria's Naviscope Project; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10239303,Cell lineage;comparing ML predictions;human -AI teaming;machine learning;plant biology;visual analytics;visualization,Biological system modeling;Biology;Predictive models;Data models;Embryo;Three-dimensional displays;Data visualization,"Humans;Cell Lineage;Computer Graphics;Machine Learning;Databases, Genetic",1,,47,IEEE,4 Sep 2023,,,IEEE,IEEE Journals
Explainable Transformer Prototypes for Medical Diagnoses,U. Demir; D. Jha; Z. Zhang; E. Keles; B. Allen; A. K. Katsaggelos; U. Bagci,"Machine & Hybrid Intelligence Lab, Northwestern University, Chicago, IL, USA; Machine & Hybrid Intelligence Lab, Northwestern University, Chicago, IL, USA; Machine & Hybrid Intelligence Lab, Northwestern University, Chicago, IL, USA; Machine & Hybrid Intelligence Lab, Northwestern University, Chicago, IL, USA; Machine & Hybrid Intelligence Lab, Northwestern University, Chicago, IL, USA; Machine & Hybrid Intelligence Lab, Northwestern University, Chicago, IL, USA; Machine & Hybrid Intelligence Lab, Northwestern University, Chicago, IL, USA",2024 IEEE International Symposium on Biomedical Imaging (ISBI),22 Aug 2024,2024,,,1,5,"Deployments of artificial intelligence in medical diagnostics mandate not just accuracy and efficacy but also trust, emphasizing the need for explainability in machine decisions. The recent trend in automated medical image diagnostics leans towards the deployment of Transformer-based architectures, credited to their impressive capabilities. Since the self-attention feature of transformers contributes towards identifying crucial regions during the classification process, they enhance the trustability of the methods. However, the complex intricacies of these attention mechanisms may fall short of effectively pinpointing the regions of interest directly influencing AI decisions. Our research endeavors to innovate a unique attention block that underscores the correlation between ’regions’ rather than ’pixels’. To address this challenge, we introduce an innovative system grounded in prototype learning, featuring an advanced self-attention mechanism that goes beyond conventional ad-hoc visual explanation techniques by offering comprehensible visual insights. A combined quantitative and qualitative methodological approach was used to demonstrate the effectiveness of the proposed method on the large-scale NIH chest X-ray dataset. Experimental results showed that our proposed method offers a promising direction for explain-ability, which can lead to the development of more trustable systems, which can facilitate easier and rapid adoption of such technology into routine clinics. Code is available at www.github.com/NUBagcilab/r2r_proto.",1945-8452,979-8-3503-1333-8,10.1109/ISBI56570.2024.10635182,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10635182,Prototypes;Transformers;Explainability;Interpretability;Medical Diagnosis,Visualization;Prototypes;Transformers;Robustness;Classification algorithms;Medical diagnosis;Artificial intelligence,,1,,21,IEEE,22 Aug 2024,,,IEEE,IEEE Conferences
Covid-19 Computer-Aided Diagnosis through AI-Assisted CT Imaging Analysis: Deploying a Medical AI System,D. Gerogiannis; A. Arsenos; D. Kollias; D. Nikitopoulos; S. Kollias,"Dept. of Computer Science & Engineering, University of Ioannina / AIandMe SMPC, Ioannina, Greece; School of Electrical & Computer Engineering, National Technical University of Athens, Greece; School of Electronic Engineering & Computer Science, Queen Mary University of London, UK; GRNET, National Infrastructures for Research & Technology; School of Electrical & Computer Engineering, National Technical University of Athens, Greece",2024 IEEE International Symposium on Biomedical Imaging (ISBI),22 Aug 2024,2024,,,1,4,"Computer-aided diagnosis (CAD) systems stand out as potent aids for physicians in identifying the novel Coronavirus Disease 2019 (COVID-19) through medical imaging modalities. In this paper, we showcase the integration and reliable and fast deployment of a state-of-the-art AI system designed to automatically analyze CT images, offering infection probability for the swift detection of COVID-19. The suggested system, comprising both classification and segmentation components, is anticipated to reduce physicians’ detection time and enhance the overall efficiency of COVID-19 detection. We successfully surmounted various challenges, such as data discrepancy and anonymisation, testing the time-effectiveness of the model, and data security, enabling reliable and scalable deployment of the system on both cloud and edge environments. Additionally, our AI system assigns a probability of infection to each 3D CT scan and enhances explainability through anchor set similarity, facilitating timely confirmation and segregation of infected patients by physicians.",1945-8452,979-8-3503-1333-8,10.1109/ISBI56570.2024.10635484,Hellenic Foundation for Research and Innovation; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10635484,Medical Imaging;COVID-19 Diagnosis;Deep Learning;Microservices;Cloud;Edge;Sandbox,COVID-19;Solid modeling;Three-dimensional displays;Computed tomography;Medical services;Reliability engineering;Computer aided diagnosis,,3,,7,IEEE,22 Aug 2024,,,IEEE,IEEE Conferences
Interpretable Classification of Pneumonia Infection Using eXplainable AI (XAI-ICP),R. -K. Sheu; M. S. Pardeshi; K. -C. Pai; L. -C. Chen; C. -L. Wu; W. -C. Chen,"Department of Computer Science, Tunghai University, Taichung, Taiwan; Artificial Intelligence (AI) Center, Tunghai University, Taichung, Taiwan; College of Engineering, Tunghai University, Taichung, Taiwan; Department of Computer Science, Tunghai University, Taichung, Taiwan; Department of Critical Care Medicine, Taichung Veterans General Hospital, Taichung, Taiwan; Department of Computer Science, Tunghai University, Taichung, Taiwan",IEEE Access,27 Mar 2023,2023,11,,28896,28919,"Open-box models in the medical domain have high acceptance and demand by many medical examiners. Even though the accuracy predicted by most of convolutional neural network (CNN) models is high, it is still not convincing as the detailed discussion regarding the outcome is semi-transparent in the functioning process. Pneumonia is known as one of the top contagious infections that makes most of the population affected due to low immunity. Therefore, the goal of this paper is to implement an interpretable classification of pneumonia infection using eXplainable AI (XAI-ICP). Thus, XAI-ICP is the highly efficient system designed to solve this challenge by adapting to the recent population health conditions. The aim is to design an interpretable deep classification and transfer learning based evaluation for pneumonia infection classification. The model is primarily pre-trained using the open Chest X-Ray (CXR) dataset from National Institutes of Health (NIH). Whereas, the training input and testing given to this system is Taichung Veterans General Hospital (TCVGH) for independent learning, Taiwan + VinDr open dataset for transfer learning of pneumonia affected patients with labeled CXR images possessing three features of infiltrate, cardiomegaly and effusion. The data labeling is performed by the medical examiners with the XAI human-in-the-loop approach. XAI-ICP demonstrates the XAI based reconfigurable DCNN with human-in-the-loop as a novel approach. The interpretable deep classification provides detailed transparency analysis and transfer learning for competitive accuracy. The purpose of this work, to design a re-configurable model that can continuously improve itself by using a feedback system and provide feasibility for the model deployment across multiple countries to provide an efficient system for the pneumonia infection classification. The designed model then provides detailed decisions taken at each step as transparency and features used within the algorithm for the pneumonia classification during the hospitalization. Thus, the scope can be given as explainable AI usage for the diagnosis classification using data preprocessing and interpretable deep convolutional neural network by the CXR evaluation. The accuracy achieved by using independent learning classification is 92.14% and is further improved based on successive transfer learning based evaluation is 93.29%. The XAI-ICP model adapts to the different populations by using transfer learning, while providing competitive results to the affected conditions.",2169-3536,,10.1109/ACCESS.2023.3255403,"Ministry of Science and Technology, Taiwan(grant numbers:MOST 111-2321-B-075A-001);",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10065420,Medical XAI;XAI pnuemonia;transfer learning;pneumonia infection,Pulmonary diseases;Transfer learning;Artificial intelligence;Solid modeling;Medical diagnostic imaging;Convolutional neural networks;Data models,,21,,58,CCBYNCND,10 Mar 2023,,,IEEE,IEEE Journals
Federated Learning-Based Explainable Anomaly Detection for Industrial Control Systems,T. T. Huong; T. P. Bac; K. N. Ha; N. V. Hoang; N. X. Hoang; N. T. Hung; K. P. Tran,"School of Electrical and Electronic Engineering, Hanoi University of Science and Technology, Hai Ba Trung, Hanoi, Vietnam; School of Electronic Engineering, Soongsil University, Seoul, South Korea; School of Electrical and Electronic Engineering, Hanoi University of Science and Technology, Hai Ba Trung, Hanoi, Vietnam; School of Electrical and Electronic Engineering, Hanoi University of Science and Technology, Hai Ba Trung, Hanoi, Vietnam; School of Electrical and Electronic Engineering, Hanoi University of Science and Technology, Hai Ba Trung, Hanoi, Vietnam; School of Electrical and Electronic Engineering, Hanoi University of Science and Technology, Hai Ba Trung, Hanoi, Vietnam; Génie et Matériaux Textiles (GEMTEX), National Higher School of Arts and Textile Industries (ENSAIT), University of Lille, Lille, France",IEEE Access,24 May 2022,2022,10,,53854,53872,"We are now witnessing the rapid growth of advanced technologies and their application, leading to Smart Manufacturing (SM). The Internet of Things (IoT) is one of the main technologies used to enable smart factories, which is connecting all industrial assets, including machines and control systems, with the information systems and the business processes. Industrial Control Systems of smart IoT-based factories are one of the top industries attacked by numerous threats, especially unknown and novel attacks. As a result, with the distributed structure of plenty of IoT front-end sensing devices in SM, an effectively distributed anomaly detection (AD) architecture for IoT-based ICSs should: achieve high detection performance, train and learn new data patterns in a fast time scale, and have lightweight to be deployed on resource-constrained edge devices. To date, most solutions for anomaly detection have not fulfilled all of these requirements. In addition, the interpretability of why an instance is predicted to be abnormal is hardly concerned. In this paper, we propose the so- called FedeX architecture to address those challenges. The experiments show that FedeX outperforms 14 other existing anomaly detection solutions on all detection metrics with the liquid storage data set. And with Recall of 1 and F1-score of 0.9857, it also outperforms those solutions on the SWAT data set. FedeX is also proven to be fast in terms of training time of about 7.5 minutes and lightweight in terms of hardware requirement with memory consumption of 14%, allowing us to deploy anomaly detection tasks on top of edge computing infrastructure and in real-time. Besides, FedeX is considered as one of the frameworks at the forefront of interpreting the predicted anomalies by using XAI, which enables experts to make quick decisions and trust the model more.",2169-3536,,10.1109/ACCESS.2022.3173288,Hanoi University of Science and Technology (HUST)(grant numbers:T2021-PC-010);,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9770834,Anomaly detection;ICS;federated learning;XAI;VAE;SVDD,Anomaly detection;Integrated circuits;Training;Industrial Internet of Things;Computational modeling;Support vector machines;Edge computing,,40,,30,CCBY,9 May 2022,,,IEEE,IEEE Journals
Adaptive Autonomy in Human-on-the-Loop Vision-Based Robotics Systems,S. Abraham; Z. Carmichael; S. Banerjee; R. VidalMata; A. Agrawal; M. N. Al Islam; W. Scheirer; J. Cleland-Huang,"Computer Vision Research Lab; Computer Vision Research Lab; Computer Vision Research Lab; Computer Vision Research Lab; Department of Computer Science and Engineering, DroneResponse Lab, University of Notre Dame, South Bend, USA; Department of Computer Science and Engineering, DroneResponse Lab, University of Notre Dame, South Bend, USA; Computer Vision Research Lab; Department of Computer Science and Engineering, DroneResponse Lab, University of Notre Dame, South Bend, USA",2021 IEEE/ACM 1st Workshop on AI Engineering - Software Engineering for AI (WAIN),8 Jul 2021,2021,,,113,120,"Computer vision approaches are widely used by autonomous robotic systems to sense the world around them and to guide their decision making as they perform diverse tasks such as collision avoidance, search and rescue, and object manipulation. High accuracy is critical, particularly for Human-on-the-loop (HoTL) systems where decisions are made autonomously by the system, and humans play only a supervisory role. Failures of the vision model can lead to erroneous decisions with potentially life or death consequences. In this paper, we propose a solution based upon adaptive autonomy levels, whereby the system detects loss of reliability of these models and responds by temporarily lowering its own autonomy levels and increasing engagement of the human in the decision-making process. Our solution is applicable for vision-based tasks in which humans have time to react and provide guidance. When implemented, our approach would estimate the reliability of the vision task by considering uncertainty in its model, and by performing covariate analysis to determine when the current operating environment is illmatched to the model’s training data. We provide examples from DroneResponse, in which small Unmanned Aerial Systems are deployed for Emergency Response missions, and show how the vision model’s reliability would be used in addition to confidence scores to drive and specify the behavior and adaptation of the system’s autonomy. This workshop paper outlines our proposed approach and describes open challenges at the intersection of Computer Vision and Software Engineering for the safe and reliable deployment of vision models in the decision making of autonomous systems.",,978-1-6654-4470-5,10.1109/WAIN52551.2021.00025,National Science Foundation; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9474360,computer vision;adaptive autonomy;safety;uncertainty,Adaptation models;Adaptive systems;Uncertainty;Computational modeling;Decision making;Data models;Software reliability,,13,,53,IEEE,8 Jul 2021,,,IEEE,IEEE Conferences
Harmony Unleashed: Exploring the Ethical and Philosophical Aspects of Machine Learning in Human-Robot Collaboration for Industry 5.0,M. H. Zafar; F. Sanfilippo; T. Blažauskas,"Department of Engineering Sciences, University of Agder, Grimstad, Norway; Department of Engineering Sciences, University of Agder, Grimstad, Norway; Department of Software Engineering, Kaunas University of Technology, Kaunas, Lithuania",2023 IEEE Symposium Series on Computational Intelligence (SSCI),1 Jan 2024,2023,,,1775,1780,"As Industry 5.0 emerges by blending advanced technologies with human-centered approaches, the integration of machine learning (ML) in human-robot collaboration (HRC) becomes increasingly prominent. This paper explores the philosophy and ethics underlying the application of machine learning in Industry 5.0, specifically focusing on HRC. It examines the ethical considerations, philosophical implications, and potential challenges that arise in this evolving paradigm. The paper emphasises the need for a thoughtful and ethical approach to ensure the beneficial and responsible use of ML in Industry 5.0.",2472-8322,978-1-6654-3065-4,10.1109/SSCI52147.2023.10371798,University of Agder; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10371798,Industry 5.0;Human-Robot Collaboration;Artificial Intelligence;Ethics;Philosophy,Industries;Ethics;Privacy;Technological innovation;Shape;Service robots;Collaboration,,3,,12,IEEE,1 Jan 2024,,,IEEE,IEEE Conferences
LLMs as Debate Partners: Utilizing Genetic Algorithms and Adversarial Search for Adaptive Arguments,P. Aryan,"Department of Computer Science, Birla Institute of Technology and Science, Pilani - Dubai Campus, Dubai, UAE",2024 IEEE Conference on Engineering Informatics (ICEI),12 Mar 2025,2024,,,1,11,"This paper introduces DebateBrawl, an innovative AI-powered debate platform that integrates Large Language Models (LLMs), Genetic Algorithms (GA), and Adversarial Search (AS) to create an adaptive and engaging debating experience. DebateBrawl addresses the limitations of traditional LLMs in strategic planning by incorporating evolutionary optimization and game-theoretic techniques. The system demonstrates remarkable performance in generating coherent, contextually relevant arguments while adapting its strategy in real-time. Experimental results involving 23 debates show balanced outcomes between AI and human participants, with the AI system achieving an average score of ${2. 7 2}$ compared to the human average of ${2. 6 7}$ out of 10. User feedback indicates significant improvements in debating skills and a highly satisfactory learning experience, with 85% of users reporting improved debating abilities and ${7 8 \%}$ finding the AI opponent appropriately challenging. The system’s ability to maintain high factual accuracy (92% compared to ${7 8 \%}$ in human-only debates) while generating diverse arguments addresses critical concerns in AI-assisted discourse. DebateBrawl not only serves as an effective educational tool but also contributes to the broader goal of improving public discourse through AI-assisted argumentation. The paper discusses the ethical implications of AI in persuasive contexts and outlines the measures implemented to ensure responsible development and deployment of the system, including robust fact-checking mechanisms and transparency in decision-making processes.",,979-8-3315-0577-6,10.1109/ICEI64305.2024.10912343,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10912343,Machine Learning;Deep Learning;Generative AI;Large Language Models;Genetic Algorithms;Adversarial Search,Training;Ethics;Visualization;Large language models;Decision making;Strategic planning;Problem-solving;Artificial intelligence;Research and development;Genetic algorithms,,1,,21,IEEE,12 Mar 2025,,,IEEE,IEEE Conferences
Watch Out for Explanations: Information Type and Error Type Affect Trust and Situational Awareness in Automated Vehicles,Y. Ding; L. Jia; N. Du,"School of Computing and Information, University of Pittsburgh, Pittsburgh, PA, USA; School of Computing and Information, University of Pittsburgh, Pittsburgh, PA, USA; School of Computing and Information, University of Pittsburgh, Pittsburgh, PA, USA",IEEE Transactions on Human-Machine Systems,,2025,PP,99,1,10,"Trust and situational awareness (SA) are critical for the acceptance and safety of automated vehicles (AVs). While AV explanations with different information types have been studied to enhance drivers' trust and SA, their effectiveness remains unclear when AVs make errors that do not trigger takeover requests. This study investigated the effects of information type, error type, and their interaction on drivers' trust in AVs, SA, and their relationships. We recruited 300 participants in an online video study with a 3 (information type: why, how, why + how) × 3 (error type: false alarm, miss, correct [no error]) mixed design. How information describes the vehicle's action, while why information refers to the reason for the vehicle's action. Linear mixed models showed that false alarms and misses were associated with lower SA compared with correct scenarios, but possibly due to different reasons. Compared with correct scenarios, both false alarms and misses were associated with lower trust, with misses even lower than false alarms, possibly due to the varying severity of potential consequences. Compared with why and why + how information, how information was generally associated with lower SA and a higher potential of overtrust in false alarms. Trust and SA had a negative linear relationship in misses and false alarms, while no correlations were found in correct scenarios. To mitigate potential overtrust and misinterpretation of situations when AVs make errors, it is crucial to maintain higher SA. We recommend including why information in AV explanations and deploying AV decision systems that are less miss-prone.",2168-2305,,10.1109/THMS.2025.3558437,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10980640,Automated vehicles (AVs);explainable artificial intelligence;human factors;human–machine interface;situational awareness (SA);trust,Vehicles;Visualization;Safety;Complexity theory;Automation;Artificial intelligence;Timing;Monitoring;Marine vehicles;Human-machine systems,,,,,IEEE,30 Apr 2025,,,IEEE,IEEE Early Access Articles
On the Role of Explainable Machine Learning for Secure Smart Vehicles,M. Scalas; G. Giacinto,"Department of Electrical and Electronic Engineering, University of Cagliari, Cagliari, Italy; Department of Electrical and Electronic Engineering, University of Cagliari, Cagliari, Italy",2020 AEIT International Conference of Electrical and Electronic Technologies for Automotive (AEIT AUTOMOTIVE),4 Jan 2021,2020,,,1,6,"The concept of mobility is experiencing a serious transformation due to the Mobility-as-a-Service paradigm. Accordingly, vehicles, usually referred to as smart, are seeing their architecture revamped to integrate connection to the outside environment (V2X) and autonomous driving. A significant part of these innovations is enabled by machine learning. However, deploying such systems raises some concerns. First, the complexity of the algorithms often prevents understanding what these models learn, which is relevant in the safety-critical context of mobility. Second, several studies have demonstrated the vulnerability of machine learning-based algorithms to adversarial attacks. For these reasons, research on the explainability of machine learning is raising. In this paper, we then explore the role of interpretable machine learning in the ecosystem of smart vehicles, with the goal of figuring out if and in what terms explanations help to design secure vehicles. We provide an overview of the potential uses of explainable machine learning, along with recent work in the literature that has started to investigate the topic, including from the perspectives of human-agent systems and cyber-physical systems. Our analysis highlights both benefits and criticalities in employing explanations.",,978-8-8872-3749-8,10.23919/AEITAUTOMOTIVE50086.2020.9307431,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9307431,Explainability;Cybersecurity;Machine learning;Mobility;Smart Vehicles;Automotive;Connected Cars;Autonomous Driving,Machine learning;Automobiles;Autonomous vehicles;Automotive engineering;Hardware;Standards;Security,,6,,35,,4 Jan 2021,,,IEEE,IEEE Conferences
Machine Learning/Artificial Intelligence for Sensor Data Fusion–Opportunities and Challenges,E. Blasch; T. Pham; C. -Y. Chong; W. Koch; H. Leung; D. Braines; T. Abdelzaher,"Air Force Office of Scientific Research, Arlington, VA, USA; Army Research Laboratory, Adelphi, MD, USA; Independent Consultant, San Jose, CA, USA; Fraunhofer FKIE, Wachtberg, Germany; University of Calgary, Calgary, Canada; IBM, Hants, U.K.; University of Illinois at Urbana-Champaign, Urbana, IL, USA",IEEE Aerospace and Electronic Systems Magazine,7 Jul 2021,2021,36,7,80,93,"During Fusion 2019 Conference (https://www.fusion2019.org/program.html), leading experts presented ideas on the historical, contemporary, and future coordination of artificial intelligence/machine learning (AI/ML) with sensor data fusion (SDF). While AI/ML and SDF concepts have had a rich history since the early 1900s—emerging from philosophy and psychology—it was not until the dawn of computers that both AI/ML and SDF researchers initiated discussions on how mathematical techniques could be implemented for real-time analysis. ML, and in particular deep learning, has demonstrated tremendous success in computer vision, natural language understanding, and data analytics. As a result, ML has been proposed as the solution to many problems that inherently include multi-modal data. For example, success in autonomous vehicles has validated the promise of ML with SDF, but additional research is needed to explain, understand, and coordinate heterogeneous data analytics for situation awareness. The panel identified opportunities for merging AI/ML and SDF such as computational efficiency, improved decision making, expanding knowledge, and providing security; while highlighting challenges for multi-domain operations, human-machine teaming, and ethical deployment strategies.",1557-959X,,10.1109/MAES.2020.3049030,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9475913,,Uncertainty;Data analysis;Psychology;Reinforcement learning;Big Data;Data models;Robustness,,88,,38,USGov,7 Jul 2021,,,IEEE,IEEE Magazines
Trustworthy AI Development Guidelines for Human System Interaction,C. S. Wickramasinghe; D. L. Marino; J. Grandio; M. Manic,"Virginia Commonwealth University, Richmond, Virginia; Virginia Commonwealth University, Richmond, Virginia; Virginia Commonwealth University, Richmond, Virginia; Virginia Commonwealth University, Richmond, Virginia",2020 13th International Conference on Human System Interaction (HSI),17 Jul 2020,2020,,,130,136,"Artificial Intelligence (AI) is influencing almost all areas of human life. Even though these AI-based systems frequently provide state-of-the-art performance, humans still hesitate to develop, deploy, and use AI systems. The main reason for this is the lack of trust in AI systems caused by the deficiency of transparency of existing AI systems. As a solution, “Trustworthy AI” research area merged with the goal of defining guidelines and frameworks for improving user trust in AI systems, allowing humans to use them without fear. While trust in AI is an active area of research, very little work exists where the focus is to build human trust to improve the interactions between human and AI systems. In this paper, we provide a concise survey on concepts of trustworthy AI. Further, we present trustworthy AI development guidelines for improving the user trust to enhance the interactions between AI systems and humans, that happen during the AI system life cycle.",2158-2254,978-1-7281-7392-4,10.1109/HSI49210.2020.9142644,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9142644,Trustworthy AI;Transparency;Explainable AI;Human System Interactions;Human Machine Interactions;AI Life Cycle,Artificial intelligence;Guidelines;Data models;Organizations;Robustness;Optimization;Testing,,27,,32,IEEE,17 Jul 2020,,,IEEE,IEEE Conferences
